_id,sentence,target,aspect,score,type
138063,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",courses,courses,1,headline
229162,it's a perfect place to have a amanzing indian food.,indian food,indian food,1,headline
681538,The place is so cool and the service is prompt and curtious.,place,place,1,headline
112430,At the end you're left with a mild broth with noodles that you can slurp out of a cup.,broth with noodles,broth with noodles,1,headline
638820,I just wonder how you can have such a delicious meal for such little money.,meal,meal,1,headline
492066,The wine list is excellent.,wine list,wine list,1,headline
392032,They wouldnt even let me finish my glass of wine before offering another.,glass of wine,glass of wine,0,headline
348627,"Whem asked, we had to ask more detailed questions so that we knew what the specials were.",specials,specials,0,headline
930925,This is a consistently great place to dine for lunch or dinner.,dine,dine,1,headline
914196,"Nice atmosphere, the service was very pleasant and the desert was good.",atmosphere,atmosphere,1,headline
581151,After really enjoying ourselves at the bar we sat down at a table and had dinner.,bar,bar,1,headline
903256,Try the lasagnette appetizer.,lasagnette appetizer,lasagnette appetizer,1,headline
455803,I liked the beer selection!,beer selection,beer selection,1,headline
171905,"Great food, good size menu, great service and an unpretensious setting.",food,food,1,headline
639334,Go here for a romantic dinner but not for an all out wow dining experience.,dinner,dinner,1,headline
298935,I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,Dosa,Dosa,0,headline
351823,Wine list selection is good and wine-by-the-glass was generously filled to the top.,Wine list selection,Wine list selection,1,headline
556665,"With the great variety on the menu , I eat here often and never get bored .",menu,menu,1,headline
580546,The menu is very limited - i think we counted 4 or 5 entrees.,menu,menu,-1,headline
901588,The menu is limited but almost all of the dishes are excellent.,menu,menu,1,headline
640914,Not too crazy about their sake martini.,sake martini,sake martini,-1,headline
644607,"Great bagels, spreads and a good place to hang out in.",bagels,bagels,1,headline
487718,One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,table,table,0,headline
763256,"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",food,food,1,headline
305378,We always have a delicious meal and always leave feeling satisfied.,meal,meal,1,headline
617213,"Dip the ingredients in with your chopsticks, swirl them around, and eat.",ingredients,ingredients,0,headline
417196,First went here to enjoy their garden terrace.,garden terrace,garden terrace,1,headline
864503,The pizza was pretty good and huge.,pizza,pizza,1,headline
852556,I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,atmosphere,atmosphere,1,headline
431676,They are often crowded on the weekends but they are efficient and accurate with their service.,crowded,crowded,1,headline
237914,All my co-workers were amazed at how small the dish was.,dish,dish,-1,headline
918575,"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",grilled branzino,grilled branzino,-1,headline
490823,"The wait staff is friendly, and the food has gotten better and better!",wait staff,wait staff,1,headline
296332,Right off the L in Brooklyn this is a nice cozy place with good pizza.,place,place,1,headline
326734,I also ordered for delivery and the restaurant forgot half the order.,order,order,-1,headline
527761,Our server checked on us maybe twice during the entire meal.,server,server,0,headline
832709,The strong scents coming from the left and right of me negatively affected my taste buds.,scents,scents,-1,headline
627335,We had the lobster sandwich and it was FANTASTIC.,lobster sandwich,lobster sandwich,1,headline
736666,"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!",check,check,-1,headline
979110,Deep Fried Skewers are good and still rare to find in NYC.,Deep Fried Skewers,Deep Fried Skewers,1,headline
125897,"I have tried to make reservations, but both times, the hostess didn't have my name.",reservations,reservations,0,headline
426119,I also recommend the rice dishes or the different varieties of congee (rice porridge).,rice dishes,rice dishes,1,headline
337862,Their tuna tartar appetizer is to die for.,tuna tartar appetizer,tuna tartar appetizer,1,headline
981076,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",cuisine,cuisine,1,headline
524450,"If you love wine and cheese and delicious french fare, you'll love Artisanal!",wine,wine,1,headline
146559,I love Indian food and consider myself to be quite an expert on it.,Indian food,Indian food,1,headline
543352,Some baby pizzas get their wish.,baby pizzas,baby pizzas,0,headline
294080,Overall A oh ya even though there is waiting it is deff worth it,waiting,waiting,-1,headline
579645,The lava cake dessert was incredible and I recommend it.,lava cake dessert,lava cake dessert,1,headline
386646,VT is what baby pizzas hope to be when they grow up.,baby pizzas,baby pizzas,0,headline
460615,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",service,service,-1,headline
460209,Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,food,food,1,headline
988590,The last time I went we were seated at a table in a corridor next to the kitchen.,table,table,-1,headline
823066,"Nice restaurant overall, with classic upscale Italian decor.",Italian decor,Italian decor,1,headline
175303,The entire dining experience was wonderful!,dining experience,dining experience,1,headline
476045,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,wine selection,wine selection,1,headline
162569,Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,Service,Service,1,headline
927178,"Order the panang duck, it's fantastic.",panang duck,panang duck,1,headline
913777,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",raw vegatables,raw vegatables,-1,headline
226445,"Other than the crappy service from two individuals, it's great.",service,service,-1,headline
570173,They have authentic Indian at amazin prices.,Indian,Indian,1,headline
985626,Ambiance- relaxed and stylish.,Ambiance,Ambiance,1,headline
758762,"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",BBQ Salmon,BBQ Salmon,1,headline
672773,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients,ingredients,1,headline
634461,and yes Dal Bukhara is so dam good and so are all the kababs.,Dal Bukhara,Dal Bukhara,1,headline
579012,I look forward to eating here again,eating,eating,1,headline
961514,I've been coming here as a child and always come back for the taste.,taste,taste,1,headline
109408,"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",glass of Leaping Lizard,glass of Leaping Lizard,1,headline
157688,"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",Food,Food,0,headline
573798,The food always tastes fresh and served promptly.,food,food,1,headline
873151,The pizza here is delicious.,pizza,pizza,1,headline
756864,"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",Pizza,Pizza,1,headline
424260,"For great chinese food nearby, you have Wu Liang Ye and Grand Sichuan just a block away.",chinese food,chinese food,1,headline
906787,But who says Murray's is anything about service.,service,service,0,headline
799521,"This place is really trendi but they have forgotten about the most important part of a  restaurant, the food.",food,food,-1,headline
927491,"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.",Service,Service,1,headline
401626,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",pizza,pizza,1,headline
607583,"service is friendly, and never had a problem walking in and getting a table.",service,service,1,headline
313496,The atmosphere was crowded but it was a great bistro-type vibe.,bistro-type vibe,bistro-type vibe,1,headline
474752,"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",waitress,waitress,0,headline
864717,The food was bland oily.,food,food,-1,headline
991163,"What is even better, is that the prices are very affordable as well, and the food is really good.",prices,prices,1,headline
728138,The fish is fresh but the variety of fish is nothing out of ordinary.,fish,fish,1,headline
859495,"And Kruno, the beverage manager is the best bartender I have yet to come across.",beverage manager,beverage manager,1,headline
590006,"Ambiance and music funky, which I enjoy.",Ambiance,Ambiance,1,headline
363299,"The food, drinks and service are clearly among the best in the city.",food,food,1,headline
215667,I went there in late afternoon for some bite size food and refleshment with my date.,food,food,0,headline
496223,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",ambiance,ambiance,1,headline
457698,"Last time I went here, the waitress didn't come back after taking our order.",waitress,waitress,-1,headline
831317,Try the tandoori salmon!,tandoori salmon,tandoori salmon,1,headline
617583,"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",atmosphere,atmosphere,1,headline
140269,"Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.",space,space,1,headline
421635,I love the atmorphere @ peep!,atmorphere,atmorphere,1,headline
140064,The service was attentive and her suggestions of menu items was right on the mark.,service,service,1,headline
501020,The other night we had the $30 three course meal and everything was delicious - if I could of licked the plate clean I would of.,three course meal,three course meal,1,headline
490051,"Even after getting pushed out by the no-class Famous Ray's, Sal has risen again to carry on his father's uncle's legacies with a smile, true love for his community, and let's not forget the Outstanding Pizza!",Pizza,Pizza,1,headline
437261,"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",environment,environment,1,headline
969791,"We had crawfish boiled and despite making a mess, it was a ton of fun and quite tasty as well.",crawfish boiled,crawfish boiled,1,headline
914898,I had very high expectations for this place and made a reservation a couple of months in advance for a special occasion.,reservation,reservation,0,headline
860121,What came to our table was burned beyond recognition and stringy.,table,table,0,headline
843869,"So I've never actually been to M proper, but I've had it delivered a few times.",delivered,delivered,0,headline
178127,"Among all of the new 5th avenue restaurants, this offers by far one of the best values for your money.",values for your money,values for your money,1,headline
855712,"Frankly, when you compare what you can have here for lunch, versus McDs or so many other sandwich shops in the city, there is no comparison.",lunch,lunch,1,headline
626993,The hostess is rude to the point of being offensive.,hostess,hostess,-1,headline
915087,"If you're craving for Haru's great food, especially the House Roll, but can't stand the wait building outisde, head across the street to their Sake Bar!",food,food,1,headline
262770,"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",corridor,corridor,0,headline
129510,The food is great.,food,food,1,headline
581228,Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,steaks,steaks,1,headline
758007,"Lunch came with pickels and slaw, no extra charge.",Lunch,Lunch,1,headline
110979,Decent wine at reasonable prices.,wine,wine,1,headline
449830,All conveniently delivered right to the door.,delivered,delivered,1,headline
969568,even the wine by the glass was good.,wine by the glass,wine by the glass,1,headline
991091,would have rather tried terrace in the sky or water club for that price,price,price,-1,headline
180687,This dish is my favorite and I always get it when I go there and never get tired of it.,dish,dish,1,headline
539447,"I also ordered the Change Mojito, which was out of this world.",Change Mojito,Change Mojito,1,headline
884628,The only thing more wonderful than the food (which is exceptional) is the service.,food,food,1,headline
331818,"The food was just awful, ATROCIOUS actually.",food,food,-1,headline
232142,The soup for the udon was soy sauce and water.,soup for the udon,soup for the udon,0,headline
866119,"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",anti-pasta,anti-pasta,1,headline
490481,"They might be all business at the counter when you give your order, but their food says I love you.",counter,counter,1,headline
745362,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",sushi,sushi,1,headline
279071,Try their plain pizza with fresh garlic or eggplant.,plain pizza,plain pizza,1,headline
711110,"Ok, so the servers wander around a little clueless, but there's more than enough servers for the crowd they get -- it's fine, you just have to make a small effort to get their attention.",servers,servers,-1,headline
776612,Good luck getting a table.,getting a table,getting a table,-1,headline
549500,The service is awful.,service,service,-1,headline
352594,"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!",takeout menu,takeout menu,1,headline
297892,"I am not the most experienced person when it comes to Thai food, but my friend who took me there is.",Thai food,Thai food,0,headline
579611,Regardless of whether there are two people or two hundred people ahead of you the hostess will take your name and tell you Five minutes.,hostess,hostess,1,headline
545900,The pizza is good though.,pizza,pizza,1,headline
550280,bottles of wine are cheap and good.,bottles of wine,bottles of wine,1,headline
986065,"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.",beers,beers,1,headline
920654,They didn't give us the dinner special until we asked for it.,dinner special,dinner special,-1,headline
872987,You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.,crabmeat lasagna,crabmeat lasagna,1,headline
782225,"word of advice, save room for pasta dishes and never leave until you've had the tiramisu.",pasta dishes,pasta dishes,1,headline
735141,Very good service and very good prices.,service,service,1,headline
650291,I recently went to this restaurant with some co-workers for lunch and had an amazing time.,lunch,lunch,0,headline
845115,Ess-A-Bagel (either by Sty-town or midtown) is by far the best bagel in NY.,bagel,bagel,1,headline
596637,Our food was great too!,food,food,1,headline
732155,"The most annoying thing, though, is the fact that the servers seem to be trained to drive revenue.",servers,servers,-1,headline
459726,"Get your food to go, find a bench, and kick back with a plate of dumplings.",food,food,1,headline
554985,"Please try the Filet Mignon, its just the most tender piece ever.",Filet Mignon,Filet Mignon,1,headline
381843,"We were still sitting at the bar while we drank the sangria, but facing away from the bar when we turned back around, the $2 was gone the people next to us said the bartender took it.",bar,bar,0,headline
601615,The sake menu should not be overlooked!,sake menu,sake menu,1,headline
887313,the drinks are amazing and half off till 8pm.,drinks,drinks,1,headline
668141,i've been back to nha trang literally a hundred times for the beef cubes - they're that good.,beef cubes,beef cubes,1,headline
583346,"The service, wine selection, ambiance are all outstanding and deserve recognition.",service,service,1,headline
988304,"We were seated promptly as we had reservations, however after that the service was slow.",reservations,reservations,1,headline
968290,"It's really also the service, is good and the waiters are friendly.",service,service,1,headline
830174,"The food was pretty good, but a little flavorless and the portions very small, including dessert.",portions,portions,-1,headline
921855,"It is set far from the small street it's on, and there is no traffic noise.",traffic noise,traffic noise,1,headline
191442,Lived in Shanghai most of my life and thought the food was comparable to the flagship Green Bo restaurant there.,food,food,1,headline
614187,"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.",food,food,1,headline
630993,This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates.,dinner meeting,dinner meeting,0,headline
610735,All the NYU students love this place so it makes for a fun young atmosphere.,atmosphere,atmosphere,1,headline
380998,The food here does a great service to the name (Cantonese that is...).,food,food,1,headline
810320,"But, nothing stands out about the cooking.",cooking,cooking,0,headline
539253,Joya used to be a cool spot with decent food and a colorful - if not relaxed - atmosphere.,food,food,1,headline
752611,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,Prix Fixe menu,Prix Fixe menu,1,headline
145773,I've been here 3 times for lunch and it is one of my favorites in the city.,lunch,lunch,0,headline
885942,"I had their eggs benedict for brunch, which were the worst in my entire life, I tried removing the hollondaise sauce completely that was how failed it was.",eggs benedict,eggs benedict,0,headline
412979,"I work near-by, and they have the BEST oatmeal in the neighborhood- not a packaged or quick-cooked item.",oatmeal,oatmeal,1,headline
561726,Too bad the food wasn't of the same heritage.,food,food,-1,headline
823007,"The menu looked good, except for offering the Chilean Sea Bass, but the server does not offer up the specials that were written on the board outside.",menu,menu,1,headline
621965,"The food was really good, I had the onion soup and it was one of the best ever.",food,food,1,headline
910170,"overall, a solid restaurant and at less than $40pp (including wine), a solid deal as well.",wine,wine,0,headline
184194,"Since it literally is a complete hole in the wall, it's a bit intimidating at first, but you get over that very quickly as soon as the friendly staff welcomes you - don't hesitate to ask for help with what to get.",staff,staff,1,headline
897586,"Based on the reviews for dinner, this is a place I would reconsider revisiting for that, but definitely not for Dim Sum again.",dinner,dinner,1,headline
365421,"It costs $2 extra to turn a regular roll into an inside-out roll, but the roll more than triples in size, and that's not just from the rice.",roll,roll,0,headline
423116,"When he finally did, he was unable to make a gin and tonic -- couldn't find tonic.",gin and tonic,gin and tonic,0,headline
940470,"The dim sum is ok but doesn't taste that fresh, and the little dishes don't look steamy hot as they should (also note lack of Chinese here).",dim sum,dim sum,-1,headline
853842,"The service is ok, some of the people didn't get what they asked for.",service,service,0,headline
734979,If you want good authentic Thai this place is not the place to go.,Thai,Thai,-1,headline
160670,I recommend getting a reservation even though we saw people seated without one.,reservation,reservation,0,headline
641326,"If you want some roast duck, pork or chicken on rice with ginger, try them out!",roast duck,roast duck,1,headline
804555,"You order from a menu, so you leave feeling like you missed the full experience.",menu,menu,-1,headline
172122,Staff is very accomodating.,Staff,Staff,1,headline
858673,I went to Del Frisco's Friday night with my boyfriend for an 8:00 reservation.,reservation,reservation,0,headline
996875,yourself a favor and have dinner here and see if you dont agree with me.,dinner,dinner,0,headline
288360,Very popular style Izakaya (Sake and small portion of sake-friendly dishes ).,Sake,Sake,1,headline
623049,"The food was terrific and the service classy, attentive, without being overbearing.",food,food,1,headline
482941,This is an amazing place to try some roti rolls.,roti rolls,roti rolls,1,headline
430411,Fresh ingredients and everything is made to order.,ingredients,ingredients,1,headline
784697,"We have never had any problems with charging the meal or the tip, and the food was delivered quickly, but we live only a few minutes walk from them.",meal,meal,1,headline
886786,Quick and friendly service.,service,service,1,headline
257265,"Try the hot dogs too, they're snappy and delicious.",hot dogs,hot dogs,1,headline
309155,"The noise level was unbearable, conversation impossible.",noise level,noise level,-1,headline
812453,Personal pans are the perfect size for those hungry nights.,Personal pans,Personal pans,1,headline
319213,Highly recommended is the Spicy Fried Clam Rolls and Spider Rolls.,Spicy Fried Clam Rolls,Spicy Fried Clam Rolls,1,headline
239570,One of the earlier people commenting on the restaurant did not get the that some experimenting is going on with the menu in a positive way.,menu,menu,1,headline
304520,The atmosphere is great if your looking for a laid back scene and an inexpensive way to spend a weekend afternoon.,atmosphere,atmosphere,1,headline
205709,"Odd for Ave B, not just odd, The place attracts an eclectic crowd to say the least.",place,place,1,headline
455782,Instead of wasting your time here: SUPPORT RESTAURANTS THAT CARE ABOUT FOOD.,FOOD,FOOD,0,headline
696715,"head and shoulders above its neighboors on east 6 st, taj mahal is also very comparable, in food quality, to the much overpraised (and underdeserving) baluchi's.",food quality,food quality,1,headline
299675,"The man that was hosting promised to save a table for our party of 7, then sat a party of 2 at the very table he was saving (mean while there were boths open all around).",man,man,0,headline
115571,As we were sitting eating the subpar food the manager proceeded to berate a couple of his employees for putting out the wrong containers for condiments and explained to them how expensive these containers were.,food,food,0,headline
930555,Great Indian food and the service is incredible.,Indian food,Indian food,1,headline
233109,"Decor is nice and minimalist, food simple yet very well presented and cooked, and the wine list matches the food very well.",Decor,Decor,1,headline
798863,"I had the salmon dish and while it was fine, for the price paid, I expected it to have some type of flavor.",price,price,0,headline
888724,We ordered a tuna melt - it came with out cheese which just made it a tuna sandwich.,tuna melt,tuna melt,0,headline
635208,"Especially liked chicken tikka and the naan, and the dals.",chicken tikka,chicken tikka,1,headline
512805,The waiters were not attentive except that the bill turned up on the table before we were finished.,waiters,waiters,-1,headline
664770,The restaurant looks out over beautiful green lawns to the Hudson River and the Statue of Liberty.,lawns,lawns,1,headline
632087,The sangria was pretty tasty and good on a hot muggy day.,sangria,sangria,1,headline
298385,Don't eat here unless you're starving for thai food and you work next door.,thai food,thai food,-1,headline
531056,"For the people who want great food plus great service, Roxy is a place to AVOID!",food,food,-1,headline
488903,I had the best ravioli ever.,ravioli,ravioli,1,headline
571364,Ive been here a bunch of times now and the service is always outstanding.,service,service,1,headline
157052,The bill is approximately $25 for 2 at lunch without drinks.,bill,bill,0,headline
660840,"Quite frankly, this is some of the worst sushi I have ever tried.",sushi,sushi,-1,headline
980750,"The food is great, service is ok.",food,food,1,headline
471921,"The overall price tag was very very expensive, something I did expect.",price tag,price tag,-1,headline
268259,"Spice is great Thai food, love the inexpensive appetizers.",Thai food,Thai food,1,headline
106339,"He not only makes his own homemade mozzarella, but every pie is ultra fresh.",mozzarella,mozzarella,1,headline
352369,Fish was overdone.,Fish,Fish,-1,headline
987528,"When you're sitting in their main dining room (which has a spectacular, hand-painted high ceiling) you'd never know there was a world outside.",main dining room,main dining room,1,headline
783772,also make sure you pay attention to the music being piped in - quite a weird selection.,music,music,0,headline
988963,The establishment scores big points in presentation and style.,establishment,establishment,1,headline
155015,Good food.,food,food,1,headline
433440,"The wait staff is very friendly, if not overly efficient.",wait staff,wait staff,1,headline
178708,The dim sum however was very good.,dim sum,dim sum,1,headline
648596,Service has always been friendly and efficient.,Service,Service,1,headline
889348,Went there and had a combination of different seafood dishes and appetizers.,seafood dishes,seafood dishes,0,headline
198917,Its a great place for a casual date or to entertain clients for lunch.,lunch,lunch,0,headline
600374,All we received was an apology as we left to see our show without dinner.,dinner,dinner,0,headline
175804,The table next to us asked if he crushed the grapes himself when their long overdue bottle of wine finally arrived.,grapes,grapes,0,headline
736151,Prices are very good.,Prices,Prices,1,headline
927690,"We could not catch our waiter's eye, and he ignored us.",waiter,waiter,-1,headline
789782,Plain and simple it's bad thai food.,thai food,thai food,-1,headline
476494,Usually 3 vs. 4 items per dish.,dish,dish,0,headline
667196,"While certain staples are excellent (the burger, some of the pastas), the food is not really the point.",staples,staples,1,headline
902153,The food was so-so.,food,food,0,headline
892654,"The waitress, seems to be more concerned of looking good than actually waitressing.",waitress,waitress,-1,headline
104905,"The place is larger than most and features adequate seating unlike most joints, and has a bar which deserves a mention.",place,place,1,headline
624059,Threw my fiance's surprise 30th birthday dinner here couldn't be happier.,dinner,dinner,0,headline
525836,Food-awesome.,Food,Food,1,headline
918199,"good music, great food, speedy service affordable prices.",music,music,1,headline
995528,The sides were ok and incredibly salty.,sides,sides,-1,headline
293918,"For some reason, all the seafood on the menu was unavailable except for the Salmon.",seafood,seafood,0,headline
740131,"The beverages were excellent, and the dessert was good.",beverages,beverages,1,headline
384552,"Next time, we wouldn't dare ordering anything else other than some simple Asian appetizers and drinks.",Asian appetizers,Asian appetizers,1,headline
378620,"Please if your thinking about it go, and stay the wait you won't be disappointed.",wait,wait,-1,headline
970128,I must say the view of NYC is so beautiful!,view,view,1,headline
539141,"If you'd like to have a nice light meal with an asian accent, Long Tan is a good place on the slope.",meal,meal,1,headline
476863,"When going out for a nice dinner, I like a nice ambiance as well as very good food.",dinner,dinner,1,headline
614349,"Otherwise, this place has great service and prices and a nice friendly atmosphere.",service,service,1,headline
889974,Highly recommend this as great value for excellent sushi and service.,value,value,1,headline
925575,This place would be so much better served by being run by a group that actually understands customer service.,served,served,-1,headline
901230,A++   The service was good to excellent along with the attitude.,service,service,1,headline
998645,The food is awesome - definitely try the striped bass.,food,food,1,headline
600749,"The music does get a little loud at times, but it just made me want to lean closer to my beautiful wife, and as I did, I got a whiff of corriander.",corriander,corriander,0,headline
469953,It's simply the best meal in NYC.,meal,meal,1,headline
523964,After passing by this restaurant for sometime I finally decided to go in and have dinner.,dinner,dinner,0,headline
513401,"The seating was if they were trying to get the maximum amount of people into the restaurant, so be nice to your neighbor when you dine here.",seating,seating,-1,headline
719935,We go on Mondays for the prix fixe and our experience with the food has been comparable to Blue Ribbon.,prix fixe,prix fixe,0,headline
640646,"However, they've got the most amazing pastrami and the soups hit the spot.",pastrami,pastrami,1,headline
744664,Great bagels made the old-fashioned way.,bagels,bagels,1,headline
115795,"This is some really good, inexpensive sushi.",sushi,sushi,1,headline
880448,"my personal favorite is an everything bagel with lox spread, but all the bagles are unbeliavably good.",bagel with lox spread,bagel with lox spread,1,headline
582298,"I wouldn't even have complained at all if the food at least tasted good but the quality of food was crappy, too.",food,food,-1,headline
803624,For the next hour and a half we stood in the crowded lobby area of this touristy restaurant listening to all types of explanations of why we were not being seated.,lobby area,lobby area,-1,headline
485899,The pizza is delicious and the proprietor is one of the nicest in NYC.,pizza,pizza,1,headline
966360,"Also good for client lunch meetings, esp.",lunch meetings,lunch meetings,0,headline
275705,"The decor is dark, cool and soothing, while the food's presentation is spectacular, considering the low prices.",decor,decor,1,headline
630776,The Waitstaff were very nice and suggested swordfish for my husband he enjoyed his meal.,Waitstaff,Waitstaff,1,headline
520308,The setting is casual and romantic.,setting,setting,1,headline
220081,"Terrible, terrible management - deserves to be shut-down.",management,management,-1,headline
236778,"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.",service,service,1,headline
311709,The desserts are more appealing then stuffy overpriced French restaurants.,desserts,desserts,1,headline
892636,"The Italian food has flavor (that can be sort of surprising on the UES), and the service turns from a nightmare to attentive,they sort of remind me of the NY Yankees of the late 90's, no matter how bad it look, you knew that there was a rally just around the corner...",Italian food,Italian food,1,headline
845038,"I found the food to be outstanding, particulary the salmon dish I had.",food,food,1,headline
924360,Mizu is home to creative and unique rolls not to found anywhere else.,rolls,rolls,1,headline
740169,Baluchi's has solid food and a nice decor at reasonable prices.,food,food,1,headline
202232,"Emilio, the owner, is often sitting in the front table greeting guests as they come and go.",owner,owner,1,headline
562082,I have been to spice three times- twice during lunch and once at dinner.,lunch,lunch,0,headline
839082,"A cheap eat for NYC, but not for dosa.",eat,eat,1,headline
748847,The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.,atmosphere,atmosphere,-1,headline
198432,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",seafood,seafood,1,headline
510253,i don't usually order wine with indian so i can't comment on their wine list or their wines.,wine,wine,0,headline
823255,Pastrami or corned beef are juicy and piled high (ask for extra rye bread).,Pastrami or corned beef,Pastrami or corned beef,1,headline
950490,"($200 for 2 glasses of champagne, not too expensive bottle of wine and 2 after dinner drinks).",glasses of champagne,glasses of champagne,-1,headline
239287,"Really though, where's the seasoning?",seasoning,seasoning,-1,headline
246503,"The food was just OK, at least for what food was available.",food,food,0,headline
736081,The waitress was very patient with us and the food is phenomenal!,waitress,waitress,1,headline
288984,"The ambience was nice, but service wasn't so great.",ambience,ambience,1,headline
448797,"Solid wine list, knowledgeable staff, friendly owners and an adventurous, ever-changing menu keep us coming back.",wine list,wine list,1,headline
473231,"We didn't even see a menu, as our waiter described both the specials and the main dishes.",menu,menu,1,headline
367348,"otherwise, good stuff for late nite eats.",stuff,stuff,1,headline
